Created_at,LT (m2),LB (m2),KT,KM,Garasi,Carport,Lokasi,Sertifikat,Listrik,Hadap,Harga,URL,Deskripsi
06-12-2021,429,469,7,7,2,2,Kota Semarang,SHM,4400,,7500000000,https://www.rumah123.com/properti/semarang/hos9291330/,"Konsep Villa Exclusive
Viewnya Bagus Sekali"
06-12-2021,169,420,8,2,2,2,Kota Semarang,SHM,,Selatan,980000000,https://www.rumah123.com/properti/semarang/hos9291284/,"6 menit ke Pusat Perbelanjaan ADA Siliwangi, 12 menit ke Bandara, 11 Menit ke Paragon Mall dan DP Mall. Cocok untuk hunian atau kostan"
07-12-2021,70,60,3,2,1,1,Kabupaten Semarang,SHM,1300,Utara,500000000,https://www.rumah123.com/properti/semarang/hos9293741/,"- Sebelah SD N Pudak Payung 03
- Belakang Kantor Kelurahan Pudak Payung
- Dekat Ke Rs.Hermina dan Transmart
- Dekat Ke Exittol Banyumanik
- Dekat Ke Undip Tembalang 10 menit
- Dekat Kawasan Wisata UNGARAN"
06-12-2021,468,700,8,4,1,1,Kota Semarang,SHM,7700,Selatan,2950000000,https://www.rumah123.com/properti/semarang/hos9291694/,dekat UIN Walisongo
06-12-2021,498,392,5,3,2,2,Kota Semarang,SHM,5500,Selatan,3800000000,https://www.rumah123.com/properti/semarang/hos9291766/,"Dekat Sekolah (TK, SD, SMP, SMA)
Undip
RS
Transmart
Ada Supermarket
Pintu tol
Pasar Tradisional
Bebas Banjir"
06-12-2021,153,330,5,4,1,1,Kota Semarang,SHM,2200,Utara,2600000000,https://www.rumah123.com/properti/semarang/hos9291812/,Lebar jalan depan bisa 3 mobil
06-12-2021,271,200,6,4,,3,Kabupaten Semarang,SHM,2200,Utara,1750000000,https://www.rumah123.com/properti/semarang/hos9291825/,"- Hanya 1 menit SMPN 13
- Hanya 2 menit Kampus UNWAHAS
- Hanya 5 menit Kampus UNIKA
- Hanya 10 menit Kampus UNNES"
06-12-2021,90,60,3,1,,,Kota Semarang,SHM,1300,Timur,475000000,https://www.rumah123.com/properti/semarang/hos9291834/,"Dekat jl raya syuhada raya
Dwkat sd syuhada
Dekat alfamart indomaret
Dekat masjid"
06-12-2021,367,265,5,4,,1,Kota Semarang,SHM,4400,,3500000000,https://www.rumah123.com/properti/semarang/hos9291852/,"Tinggal masuk semua sdh terpasang AC, Water heather cctv MNC terdapat wifi. juga"
06-12-2021,72,63,3,2,,1,Kota Semarang,SHM,1300,Selatan,542000000,https://www.rumah123.com/properti/semarang/hos9291867/,"Dekat SDK Sang Timur
Dekat SMP N 34
Dekat GOR Manunggal Jati
Dekat SUPERINDO dan Alfamidi
Dekat ADA Fatmawati
Dekat Klinik dan Puskesmas"
07-12-2021,75,42,2,1,1,1,Kota Semarang,SHM,1300,Utara,310000000,https://www.rumah123.com/properti/semarang/hos9293676/,"- Sebelah SD N Pudak Payung 03
- Belakang Kantor Kelurahan Pudak Payung
- Dekat Ke Rs.Hermina & Transmart
- Dekat Ke Exittol Banyumanik
- Dekat Ke Undip Tembalang 10 menit
- Dekat Kawasan Wisata UNGARAN"
06-12-2021,80,70,3,2,1,1,Kota Semarang,SHM,1300,Timur,850000000,https://www.rumah123.com/properti/semarang/hos9291801/,"- Cluster One Gate System
- Dekat SD Islam Hidayatullah
- 2 Menit Tol Banyumanik
- 2 Menit Swalayan ADA Setiabudi
- 3 Menit TRANSMART Setiabudi
- 7 Menit Kampus UNDIP"
06-12-2021,130,160,4,3,,1,Kota Semarang,SHM,1300,Selatan,850000000,https://www.rumah123.com/properti/semarang/hos9291783/,"dekat Aneka Jaya
Dekat SMPN 34 Semarang
Dekat jl woltermonginsidi"
06-12-2021,275,550,3,3,1,1,Kota Semarang,SHM,11000,Timur Laut,9250000000,https://www.rumah123.com/properti/semarang/hos9291716/,"Dekat kolam renang
View sangat indah"
